grid,stake,geometry
SU,-36,660569.373473336|6761178.60957799
SU,-37,660553.891161552|6761161.17858018
SU,-38,660533.109663451|6761129.00845913
SU,-39,660520.245538963|6761101.65818827
SU,-310,660501.175111973|6761079.60371841
SU,-311,660486.145354923|6761052.15558193
SU,-312,660470.422948549|6761028.02216821
SU,-315,660424.58874655|6760950.1060882
SU,-316,660411.6726753|6760923.8692856
SU,-317,660394.715469405|6760903.02640548
SU,-318,660372.936513203|6760880.85024194
SU,-319,660355.588521054|6760856.64392417
SU,-320,660335.634286987|6760830.08922434
SU,-21,660627.092502029|6761317.29423915
SU,-22,660613.147394688|6761289.8945703
SU,-23,660597.376622464|6761266.87361167
SU,-24,660577.967994366|6761240.34199805
SU,-25,660558.017793189|6761213.7859869
SU,-26,660542.535599708|6761196.35503682
SU,-27,660524.107920651|6761172.09884049
SU,-28,660504.207280045|6761144.43009484
SU,-29,660491.83391661|6761118.21747845
SU,-210,660475.369118592|6761098.51173801
SU,-215,660395.093865429|6760966.61718732
SU,-216,660376.172900458|6760941.22426088
SU,-217,660358.976256384|6760913.67876889
SU,-218,660341.187685986|6760887.22194115
SU,-219,660319.99994812|6760863.95753224
SU,-220,660306.831188475|6760843.28638431
SU,-11,660599.814862971|6761332.78864003
SU,-12,660585.46635807|6761314.29347204
SU,-13,660570.72765074|6761292.43470668
SU,-14,660554.616958872|6761264.93723535
SU,-15,660534.666748348|6761238.38135553
SU,-16,660517.372189433|6761213.06115131
SU,-17,660501.751570569|6761186.70148396
SU,-18,660484.50687164|6761160.26839806
SU,-19,660468.583534318|6761140.58718324
SU,-110,660449.764848393|6761112.96774099
SU,-111,660433.601941568|6761086.58389739
SU,-115,660367.814815358|6760982.11339129
SU,-116,660350.757021465|6760963.49682173
SU,-117,660337.248846289|6760938.34887173
SU,-118,660314.437479407|6760915.01106997
SU,-119,660304.227058986|6760888.89702508
SU,-120,660302.828564673|6760859.83534326
SU,1,660573.909185839|6761353.92202576
SU,2,660561.43640798|6761329.93524331
SU,3,660542.179100485|6761300.06467578
SU,4,660525.136881751|6761269.17918105
SU,5,660509.516607971|6761242.81947416
SU,6,660495.910026545|6761219.8969837
SU,7,660475.70725099|6761198.90669451
SU,8,660461.068079019|6761174.82230287
SU,9,660443.82302311|6761148.38941998
SU,10,660430.756892076|6761125.4916826
SU,11,660412.819004915|6761102.37362026
SU,12,660394.98156321|6761077.02955084
SU,15,660344.174141084|6761001.12027942
SU,16,660322.848429868|6760968.9269583
SU,17,660305.689715309|6760952.53671229
SU,18,660287.019593985|6760921.57901443
SU,19,660274.983834925|6760899.84386446
SU,20,660259.750295082|6760876.84893245
SU,A1,660557.557780881|6761367.68088344
SU,A2,660542.667977437|6761349.16138077
SU,A3,660523.989251636|6761330.47041795
SU,A4,660453.463402946|6761294.93375315
SU,A5,660489.652648268|6761274.26493842
SU,A6,660469.752405426|6761246.59637969
SU,A7,660457.719030612|6761224.86057372
SU,A8,660440.96514255|6761199.56524371
SU,A9,660425.784472255|6761175.45651064
SU,A10,660406.965680431|6761147.83729675
SU,A11,660391.142560524|6761125.93033532
SU,A12,660372.272871424|6761099.42436456
SU,A13,660356.059007428|6761074.15393422
SU,A14,660336.20681553|6761045.37310783
SU,A15,660320.924055941|6761023.49094768
SU,A16,660305.301056061|6760997.13218093
SU,A17,660288.293342383|6760977.40286357
SU,A18,660276.308119977|6760954.55465382
SU,A19,660257.046153418|6760924.68570419
SU,A20,660238.224577568|6760897.06742729
SU,B1,660528.015081021|6761385.30389246
SU,B2,660510.771685468|6761358.87065883
SU,B3,660500.413137624|6761336.09515198
SU,B4,660481.105001065|6761307.33797225
SU,B5,660462.627206552|6761284.195141
SU,B6,660446.314209922|6761261.15037422
SU,B7,660427.445735797|6761234.64409161
SU,B8,660411.975642331|6761204.94567585
SU,B9,660393.345781565|6761185.14237251
SU,B10,660375.81072175|6761153.12008983
SU,B11,660360.037779676|6761130.10021852
SU,B12,660344.705249267|6761109.33099845
SU,B13,660327.257702107|6761087.35090449
SU,B14,660309.910565317|6761063.1447966
SU,B15,660290.359808979|6761027.68592444
SU,B16,660277.241894666|6761005.90182609
SU,B17,660258.521563494|6760976.05732823
SU,B18,660242.306270011|6760950.78743915
SU,B19,660224.706376879|6760932.14702789
SU,B20,660212.720576649|6760909.29904152
SU,C1,660501.330032227|6761399.71049284
SU,C2,660485.017882887|6761376.66553522
SU,C3,660468.907001506|6761349.16845529
SU,C4,660452.103500161|6761324.98611114
SU,C5,660429.93755806|6761299.44590697
SU,C6,660440.045432661|6761279.82732217
SU,C7,660395.838351788|6761249.94415237
SU,C8,660378.782125546|6761231.32742443
SU,C9,660362.078070539|6761204.91942335
SU,C10,660344.240872809|6761179.57560496
SU,C11,660322.324797418|6761148.47084353
SU,C12,660307.835336246|6761121.04794827
SU,C13,660294.717928582|6761099.2637775
SU,C14,660277.96224422|6761073.96924404
SU,C15,660255.944267551|6761045.09101577
SU,C16,660237.954544355|6761023.08691239
SU,C17,660221.248346174|6760996.6796067
SU,C18,660206.656824711|6760971.48325181
SU,C19,660187.634051336|6760948.31745391
SU,C20,660169.894729877|6760920.74844703
SU,D1,660481.089691897|6761415.52429838
SU,D2,660463.54390104|6761395.7695965
SU,D3,660443.002266488|6761370.30278486
SU,D4,660426.198711256|6761346.12056409
SU,D5,660407.771157369|6761321.86496958
SU,D6,660388.311174503|6761296.44745865
SU,D7,660373.130642735|6761272.33894834
SU,D8,660351.505060293|6761246.82372783
SU,D9,660336.324042017|6761222.71538233
SU,D10,660314.307562822|6761193.83676924
SU,D11,660298.584763117|6761169.70412196
SU,D12,660282.761116399|6761147.7976515
SU,D13,660261.435888843|6761115.60469146
SU,D14,660243.005906432|6761091.34998929
SU,D15,660228.26411563|6761069.49269263
SU,D16,660208.952198611|6761040.73705071
SU,D17,660191.113012322|6761015.39403198
SU,D18,660174.456711428|6760987.87389952
SU,D19,660157.800135537|6760960.3538494
SU,D20,660140.350663355|6760938.37470332
SU,E1,660454.153219728|6761435.49649812
SU,E2,660442.900794955|6761420.48801926
SU,E3,660424.675225496|6761391.78012718
SU,E4,660406.7891762|6761367.54902204
SU,E5,660386.939260918|6761338.76787693
SU,E6,660369.493234233|6761316.78755219
SU,E7,660353.670753092|6761294.88074786
SU,E8,660332.0072114|6761258.21065718
SU,E9,660316.133889016|6761237.41707944
SU,E10,660300.411324491|6761213.28442043
SU,E11,660278.243571576|6761187.74519108
SU,E12,660258.731570079|6761163.44146845
SU,E13,660245.815250955|6761137.20527165
SU,E14,660221.38087742|6761113.79467463
SU,E15,660209.005360916|6761087.58307577
SU,E16,660187.918693379|6761062.09334267
SU,E17,660168.795804016|6761041.15374445
SU,E18,660158.244575739|6761010.56346721
SU,E19,660133.808706413|6760987.15349566
SU,E20,660116.711026286|6760957.38309371
SU,F1,660425.794796846|6761450.94322994
SU,F2,660409.142633063|6761423.42193313
SU,F3,660394.554459221|6761398.22475457
SU,F4,660372.250132121|6761363.75601875
SU,F5,660355.496417582|6761338.46108909
SU,F6,660338.490795383|6761318.73149947
SU,F7,660321.434652722|6761300.11504588
SU,F8,660306.064684234|6761268.19099584
SU,F9,660289.15905458|6761246.23554898
SU,F10,660269.546870693|6761224.15786384
SU,F11,660253.483872661|6761195.54874627
SU,F12,660236.237452324|6761169.1168921
SU,F13,660216.725062489|6761144.81340626
SU,F14,660199.176391722|6761125.06005503
SU,F15,660186.750484694|6761099.96158791
SU,F16,660172.209501558|6761073.65231753
SU,F17,660146.942937443|6761044.62808536
SU,F18,660129.053090792|6761020.39843751
SU,F19,660119.131745543|6760999.87464638
SU,F20,660098.434437861|6760977.74906356
SU,G1,660406.977354582|6761471.28311867
SU,G2,660392.339047077|6761447.19899656
SU,G3,660372.980425172|6761419.55545757
SU,G4,660357.05781041|6761399.87473193
SU,G5,660340.3545217|6761373.46682102
SU,G6,660327.037084157|6761356.13471641
SU,G7,660305.424037217|6761318.35173354
SU,G8,660289.601186834|6761296.44522035
SU,G9,660270.681501196|6761271.05283627
SU,G10,660250.288647102|6761242.24801632
SU,G11,660238.644333108|6761223.87659022
SU,G12,660216.828268401|6761190.54638405
SU,G13,660202.577787459|6761169.82669756
SU,G14,660182.435134617|6761135.45702279
SU,G15,660166.019072696|6761114.63968779
SU,G16,660146.606422645|6761088.11049363
SU,G17,660133.047154698|6761064.07638532
SU,G18,660112.400598524|6761040.83766038
SU,G19,660099.43244335|6761015.71507354
SU,G20,660082.033179568|6760992.6231611
SU,H1,660374.881180786|6761485.44580213
SU,H2,660361.765743868|6761463.66135308
SU,H3,660342.897897771|6761437.15550995
SU,H4,660326.245040775|6761409.63461239
SU,H5,660310.372453666|6761388.84104913
SU,H6,660292.095350157|6761361.24690768
SU,H7,660279.671076796|6761336.14809007
SU,H8,660262.815965577|6761313.07971346
SU,H9,660244.487756786|6761286.59888149
SU,H10,660224.636063959|6761257.81867087
SU,H11,660211.719916008|6761231.58259506
SU,H12,660194.813533946|6761209.62760892
SU,H13,660177.2768908|6761177.60633012
SU,H14,660159.728193359|6761157.85317433
SU,H15,660145.287832363|6761129.31790663
SU,H16,660127.738700931|6761109.56491557
SU,H17,660109.559088359|6761079.74565352
SU,H18,660093.733871316|6761057.84004941
SU,H19,660077.618374284|6761030.34481539
SU,H20,660059.677756808|6761007.2285789
SU,I1,660352.665842696|6761508.9782425
SU,I2,660338.7195931|6761481.57966745
SU,I3,660319.209804171|6761457.27557867
SU,I4,660301.32344433|6761433.04500951
SU,I5,660280.000355631|6761400.85190486
SU,I6,660267.475546974|6761377.97923244
SU,I7,660249.047148392|6761353.72447463
SU,I8,660233.966590952|6761327.39046402
SU,I9,660213.523531021|6761299.69890619
SU,I10,660194.703917069|6761272.08082947
SU,I11,660181.045231958|6761250.2726256
SU,I12,660168.368349184|6761230.73948051
SU,I13,660151.121519344|6761204.30804583
SU,I14,660128.813515918|6761169.8408954
SU,I15,660114.902694857|6761153.59822556
SU,I16,660100.902740517|6761127.31369114
SU,I17,660077.851441358|6761097.2746526
SU,I18,660062.617656508|6761074.28056954
SU,I19,660043.644844548|6761050.00249339
SU,I20,660028.561299088|6761023.66940105
SU,J1,660324.950342408|6761522.22414218
SU,J2,660308.738394134|6761496.95389792
SU,J3,660288.548592275|6761463.69662394
SU,J4,660272.927632998|6761437.33796745
SU,J5,660248.747215371|6761408.36188543
SU,J6,660235.039158838|6761387.66651186
SU,J7,660221.481819439|6761363.63203596
SU,J8,660201.970538163|6761339.32861428
SU,J9,660188.412764937|6761315.29427131
SU,J10,660168.069841263|6761285.37687597
SU,J11,660151.364577989|6761258.96988421
SU,J12,660135.6913166|6761233.7249159
SU,J13,660123.605656594|6761213.10332579
SU,J14,660104.243572905|6761185.46130502
SU,J15,660087.297527246|6761152.35186988
SU,J16,660067.683580136|6761130.27532689
SU,J17,660052.890704807|6761109.53182493
SU,J18,660034.610025035|6761081.93906365
SU,J19,660017.752020101|6761058.87189469
SU,K1,660303.679369198|6761536.87694283
SU,K2,660284.660600353|6761513.71056406
SU,K3,660269.430160505|6761490.71554244
SU,K4,660253.557667598|6761469.92223173
SU,K5,660235.972760655|6761439.01368359
SU,K6,660218.576697287|6761415.9210531
SU,K7,660200.538577685|6761395.03016304
SU,K8,660182.310976469|6761366.32354576
SU,K9,660170.17582834|6761346.81483786
SU,K10,660150.323946101|6761318.03504547
SU,K11,660135.091703932|6761295.04062775
SU,K12,660117.844997955|6761268.60935267
SU,K13,660094.114368081|6761229.61688094
SU,K14,660081.436941522|6761210.08405444
SU,K15,660063.056587052|6761184.71724183
SU,K16,660046.690353927|6761162.78741081
SU,K17,660031.066114788|6761136.42986865
SU,K18,660009.928337645|6761112.05426046
SU,K19,659995.436369198|6761084.6326774
SU,K20,659976.463183016|6761060.35496593
SU,L1,660273.799409757|6761550.02535713
SU,L2,660255.812668139|6761528.02111783
SU,L3,660236.063217544|6761497.01471349
SU,L4,660221.361579008|6761486.31240049
SU,L5,660203.096362932|6761446.45068236
SU,L6,660207.790255235|6761426.58691584
SU,L7,660168.454513312|6761396.92667789
SU,L8,660156.269138752|6761378.5310698
SU,L9,660137.159674309|6761345.32358412
SU,L10,660116.855170409|6761326.56146284
SU,L11,660099.017000332|6761301.21889093
SU,L12,660084.716121181|6761281.61273322
SU,L13,660068.80273135|6761249.66530623
SU,L14,660048.848962666|6761223.1122106
SU,L15,660032.583313161|6761198.95633453
SU,L16,660017.349751021|6761175.96244209
SU,L17,660002.757703748|6761150.76693222
SU,L18,659982.110903841|6761127.52896884
SU,L19,659965.403450804|6761101.12288539
SU,L20,659949.086409743|6761078.08046484
SU,M1,660248.337851549|6761573.41164508
SU,M2,660233.749304581|6761548.21513225
SU,M3,660217.637465435|6761520.71920617
SU,M4,660203.639971703|6761494.43422844
SU,M5,660186.584099972|6761475.81841887
SU,M6,660162.944541662|6761446.86737908
SU,M7,660152.383045113|6761428.54512716
SU,M8,660135.086943626|6761403.22680806
SU,M9,660112.679715478|6761370.98584547
SU,M10,660094.691006619|6761348.98245257
SU,M11,660081.925082483|6761319.40769489
SU,M12,660065.308439876|6761303.04303489
SU,M13,660044.032638239|6761269.73833834
SU,M14,660032.83951046|6761241.3501129
SU,M15,660014.408781651|6761217.09660859
SU,M16,659995.676461343|6761199.5215323
SU,M17,659976.955045942|6761169.67853445
SU,M18,659959.706507488|6761143.24805544
SU,M19,659944.67303336|6761115.80226606
SU,M20,659927.613861302|6761097.18775102
SU,N1,660226.966901848|6761590.29100253
SU,N2,660208.350338405|6761558.22061415
SU,N3,660189.822039198|6761536.19225888
SU,N4,660174.741972489|6761509.85849175
SU,N5,660150.561349619|6761480.88308171
SU,N6,660136.412377973|6761457.93753904
SU,N7,660118.134390168|6761430.34430628
SU,N8,660104.67699971|6761404.08417753
SU,N9,660081.426759442|6761378.49729883
SU,N10,660074.564336142|6761350.30441924
SU,N11,660055.88330604|6761331.61595546
SU,N12,660034.356440519|6761303.87658561
SU,N13,659834.063162236|6761271.42072994
SU,N14,660002.75742098|6761258.95304501
SU,N15,659986.391221859|6761237.02349136
SU,N16,659969.684397776|6761210.61737798
SU,N17,659951.152662677|6761188.59032084
SU,N18,659935.087002022|6761159.98268354
SU,N19,659916.755549655|6761133.50359277
SU,N20,659904.076790637|6761113.97141977
SU,O1,660193.26092455|6761592.113894
SU,O2,660185.456444002|6761572.80074807
SU,O3,660163.630511617|6761551.7388724
SU,O4,660146.586550534|6761520.85521941
SU,O5,660130.323108339|6761496.69886166
SU,O6,660113.707587061|6761480.33395819
SU,O7,660096.562285148|6761451.6766653
SU,O8,660077.692475761|6761425.17226141
SU,O9,660061.679309214|6761395.45096282
SU,O10,660044.772927907|6761373.49669105
SU,O11,660029.930847872|6761353.86632311
SU,O12,660015.981458128|6761326.46906319
SU,O13,659997.300000716|6761307.78091426
SU,O14,659982.368071359|6761278.10883867
SU,O15,659965.561016979|6761253.92885126
SU,O16,659943.391269944|6761228.39174348
SU,O17,659931.455118288|6761204.43165822
SU,O18,659915.72987902|6761180.30074305
SU,O19,659840.614457131|6761150.14639103
SU,O20,659879.116835025|6761126.22980503
SU,P1,660173.212274304|6761615.74524859
SU,P2,660150.404697328|6761592.40844425
SU,P3,660141.668385623|6761569.70734425
SU,P4,660126.878015603|6761548.96349555
SU,P5,660108.210064201|6761518.00670283
SU,P6,660094.061002152|6761495.06133018
SU,P7,660076.965882943|6761465.29107905
SU,P8,660057.945280085|6761442.12594296
SU,P9,660042.222082466|6761417.99443629
SU,P10,660025.957417934|6761393.83857529
SU,P11,660010.334222974|6761367.48110788
SU,P12,659991.904090243|6761343.22771124
SU,P13,659977.653057884|6761322.50893558
SU,P14,659957.258271471|6761293.70582791
SU,P15,659942.125123256|6761268.4861478
SU,P16,659927.873468617|6761247.76758146
SU,P17,659905.413123174|6761216.64102686
SU,P18,659891.361779395|6761191.47039167
SU,P19,659874.01238718|6761167.26644753
SU,P20,659859.369140914|6761143.18459801
SU,Q1,660145.989242015|6761630.13003048
SU,Q2,660131.009875352|6761601.57033949
SU,Q3,660114.696491744|6761578.52710182
SU,Q4,660101.088967503|6761555.60613749
SU,Q5,660081.036872448|6761531.27893516
SU,Q6,660059.12107989|6761500.1757934
SU,Q7,660050.132692795|6761483.0402029
SU,Q8,660032.345205609|6761456.58490468
SU,Q9,660010.629398906|6761421.0298589
SU,Q10,659997.511535044|6761399.24679205
SU,Q11,659978.439823485|6761377.19515025
SU,Q12,659960.70142745|6761349.62717323
SU,Q13,659944.335455795|6761327.69780989
SU,Q14,659931.417610552|6761301.46277844
SU,Q15,659917.567635205|6761271.83980928
SU,Q16,659898.003618547|6761248.65115246
SU,Q17,659881.837493986|6761222.26986842
SU,Q18,659865.570752481|6761198.11477391
SU,Q19,659846.547232994|6761174.95081495
SU,Q20,659831.312398061|6761151.95773989
SU,R1,660122.794439853|6761651.38888038
SU,R2,660108.935968143|6761634.03314858
SU,R3,660093.515643858|6761603.22307165
SU,R4,660078.284461534|6761580.22888104
SU,R5,660057.841900942|6761552.53821175
SU,R6,660041.087069405|6761527.24478216
SU,R7,660022.317794533|6761498.51456271
SU,R8,660007.13588222|6761474.40763746
SU,R9,659987.91400688|6761455.69510115
SU,R10,659972.341077861|6761428.22474508
SU,R11,659953.369816419|6761403.94712759
SU,R12,659936.663668948|6761377.54115891
SU,R13,659918.043268736|6761345.47235116
SU,R14,659901.727218593|6761322.43013288
SU,R15,659884.919879822|6761298.25053142
SU,R16,659866.588888725|6761271.77169239
SU,R17,659854.16132672|6761246.67441288
SU,R18,659832.532038178|6761221.16241058
SU,R19,659814.200216957|6761194.68385471
SU,R20,659799.015438427|6761170.57786331
SU,S1,660098.668300848|6761669.25983812
SU,S2,660081.272667711|6761646.16787373
SU,S3,660060.880811127|6761617.3641259
SU,S4,660042.011754162|6761590.85989999
SU,S5,660027.76214284|6761570.14090133
SU,S6,660007.52006646|6761537.99831036
SU,S7,659994.743003341|6761520.69188999
SU,S8,659973.85864594|6761490.75118726
SU,S9,659958.575949517|6761468.87058511
SU,S10,659947.031472213|6761448.27401329
SU,S11,659922.949023208|6761417.07407729
SU,S12,659905.941548169|6761397.34658828
SU,S13,659889.385600083|6761367.60168076
SU,S14,659869.330936705|6761343.27571347
SU,S15,659855.330119084|6761316.99215921
SU,S16,659806.63851076|6761290.26035501
SU,S17,659819.158742232|6761265.17234067
SU,S18,659800.776925148|6761239.80690793
SU,S19,659781.803410479|6761215.53024161
SU,S20,659768.583008225|6761195.97416821
SU,T1,660069.431963553|6761680.20828084
SU,T2,660051.645751889|6761653.75286622
SU,T3,660034.740704136|6761631.79862182
SU,T4,660017.885674603|6761608.73140646
SU,T5,660006.10224685|6761581.43187437
SU,T6,659985.307582774|6761561.53301418
SU,T7,659968.161743466|6761532.87634906
SU,T8,659948.209065117|6761506.32380222
SU,T9,659931.944254318|6761482.16837391
SU,T10,659917.202499162|6761460.31236744
SU,T11,659895.0840567|6761433.662489
SU,T12,659877.97614673|6761416.16124643
SU,T13,659861.721173921|6761379.73813405
SU,T14,659844.763354295|6761358.89789002
SU,T15,659831.153166917|6761335.97800085
SU,T16,659812.771849659|6761310.61249834
SU,T17,659793.307743421|6761285.19831176
SU,T18,659779.055335319|6761264.48035411
SU,T19,659759.791305902|6761234.61413199
SU,T20,659742.8321389|6761213.77439538
SU,U1,660045.167068258|6761689.15072809
SU,U2,660029.093367785|6761672.81064251
SU,U3,660015.284791357|6761654.3422269
SU,U4,659995.974887962|6761625.58771145
SU,U5,659980.983073278|6761609.29669849
SU,U6,659960.539979646|6761581.60659756
SU,U7,659938.0712225|6761562.74782016
SU,U8,659922.649090655|6761531.93851253
SU,U9,659908.549141349|6761507.88083988
SU,U10,659887.223160375|6761475.69013767
SU,U11,659875.968597419|6761460.68348834
SU,U12,659854.982514597|6761432.96961754
SU,U13,659839.899539105|6761406.63731651
SU,U14,659820.486383926|6761380.10991271
SU,U15,659806.976471622|6761354.96400399
KL,-89,660485.630545647|6761866.32347962
KL,-810,660505.187113671|6761889.51548801
KL,-811,660519.079796091|6761918.02781605
KL,-812,660531.009217342|6761941.98997924
KL,-813,660545.694644602|6761964.96167412
KL,-73,660398.731187065|6761689.5145637
KL,-74,660416.225337891|6761710.38201541
KL,-75,660432.88873698|6761725.6353222
KL,-76,660449.199374524|6761748.68006373
KL,-77,660467.42262592|6761777.38811772
KL,-78,660485.104385883|6761806.07177165
KL,-79,660502.496627578|6761829.1657665
KL,-710,660514.61491457|6761860.94371986
KL,-711,660537.757889335|6761888.75963372
KL,-712,660556.52078053|6761917.49267513
KL,-713,660575.044693732|6761939.52301122
KL,-63,660427.918257315|6761679.68187321
KL,-64,660449.049545576|6761704.06006878
KL,-65,660466.543335823|6761724.92777399
KL,-66,660488.114487787|6761751.55680706
KL,-67,660501.769118659|6761773.3662543
KL,-68,660520.381803108|6761805.43824016
KL,-69,660536.590673158|6761830.70949799
KL,-610,660558.600953732|6761859.58958429
KL,-611,660575.992442319|6761882.68395074
KL,-612,660592.792108995|6761906.86694025
KL,-613,660609.288970029|6761937.72830788
KL,-52,660440.756984781|6761635.64965099
KL,-53,660459.031350872|6761663.2445997
KL,-54,660479.180916543|6761685.34788682
KL,-55,660496.133448249|6761706.19124165
KL,-56,660517.16332761|6761732.79595266
KL,-57,660532.881818185|6761756.92963409
KL,-58,660549.242077001|6761778.86179733
KL,-59,660564.519764842|6761800.74501807
KL,-510,660577.6325484|6761822.53025682
KL,-511,660601.894616034|6761861.55062496
KL,-512,660613.585125117|6761878.81025814
KL,-513,660633.039955749|6761904.22908265
KL,-514,660651.95333553|6761929.62349408
KL,-515,660666.197805802|6761950.34507612
KL,-40,660440.606896875|6761591.02966178
KL,-41,660449.794621885|6761603.71407083
KL,-42,660466.98669941|6761631.26007351
KL,-43,660484.430409025|6761653.24091274
KL,-44,660501.773116242|6761677.44794122
KL,-45,660520.24836046|6761700.59101517
