"sex","repro_stage","mean_distance","median_distance","sd_distance","max_distance","n"
"F","MATING",13.5309641814268,9.48683298050515,12.0152297449861,51.3517283058711,2161
"F","LACTATING",20.3352345727097,17.4928556845359,13.4719181540891,51.7880295048962,3311
"M","MATING",13.8239865584042,10.816653826392,10.8573081844761,51.6139516022558,2729
"M","LACTATING",17.1651182270314,15,11.1257758199593,51.7880295048962,7744
