"sex","mean_distance","median_distance","max_distance","sd_distance","n","group"
"F",12.6153205340146,9.00000000000002,51.3517283058711,11.6790888115871,1263,"Cone Mating"
"M",12.3894107820633,9.48683298050515,51.6139516022558,9.67962346864562,1887,"Cone Mating"
"F",14.8187792445466,10.816653826392,51.351728305871,12.3649266611412,898,"Income Mating"
"M",17.0390037673772,15,51.0881590977792,12.5416840869211,842,"Income Mating"
"F",15.8046199339612,10.816653826392,51.6139516022558,13.4682460118075,492,"Cone Lactating"
"M",13.0009427319887,10.816653826392,51.6139516022558,9.11005796140106,1641,"Cone Lactating"
"F",21.1259626331085,18.9736659610103,51.7880295048962,13.3178448814406,2819,"Income Lactating"
"M",18.2847990376762,16.1554944214035,51.7880295048962,11.3511583730804,6103,"Income Lactating"
