"year","sex","repro_stage","food_type","num_events"
"2010","M","lactation","income",27
"2010","M","mating","capital",69
"2010","M","mating","income",60
"2010","M","non-breeding","capital",0
"2010","M","non-breeding","income",0
"2011","F","lactation","capital",372
"2011","F","lactation","income",34
"2011","F","mating","capital",179
"2011","F","mating","income",1
"2011","F","non-breeding","capital",9
"2011","F","non-breeding","income",6
"2011","M","lactation","capital",98
"2011","M","lactation","income",13
"2011","M","mating","capital",10
"2011","M","mating","income",1
"2011","M","non-breeding","capital",12
"2011","M","non-breeding","income",6
"2012","F","lactation","capital",29
"2012","F","lactation","income",40
"2012","F","mating","capital",21
"2012","F","mating","income",11
"2012","F","non-breeding","capital",0
"2012","F","non-breeding","income",1
"2012","M","lactation","capital",24
"2012","M","lactation","income",16
"2012","M","mating","capital",15
"2012","M","mating","income",7
"2012","M","non-breeding","capital",1
"2012","M","non-breeding","income",1
"2013","F","lactation","capital",62
"2013","F","lactation","income",84
"2013","F","mating","capital",21
"2013","F","mating","income",8
"2013","F","non-breeding","capital",0
"2013","F","non-breeding","income",28
"2013","M","lactation","capital",62
"2013","M","lactation","income",37
"2013","M","mating","capital",196
"2013","M","mating","income",4
"2013","M","non-breeding","capital",0
"2013","M","non-breeding","income",23
"2014","F","lactation","capital",104
"2014","F","lactation","income",2670
"2014","F","mating","capital",189
"2014","F","mating","income",62
"2014","F","non-breeding","capital",0
"2014","F","non-breeding","income",0
"2014","M","lactation","capital",49
"2014","M","lactation","income",2503
"2014","M","mating","capital",709
"2014","M","mating","income",115
"2014","M","non-breeding","capital",0
"2014","M","non-breeding","income",0
"2015","F","lactation","capital",170
"2015","F","lactation","income",16
"2015","F","mating","capital",3
"2015","F","mating","income",0
"2015","F","non-breeding","capital",30
"2015","F","non-breeding","income",4
"2015","M","lactation","capital",908
"2015","M","lactation","income",291
"2015","M","mating","capital",0
"2015","M","mating","income",0
"2015","M","non-breeding","capital",174
"2015","M","non-breeding","income",212
"2016","F","lactation","capital",114
"2016","F","lactation","income",497
"2016","F","mating","capital",27
"2016","F","mating","income",7
"2016","F","non-breeding","capital",6
"2016","F","non-breeding","income",189
"2016","M","lactation","capital",471
"2016","M","lactation","income",2273
"2016","M","mating","capital",11
"2016","M","mating","income",2
"2016","M","non-breeding","capital",22
"2016","M","non-breeding","income",179
"2017","F","lactation","capital",28
"2017","F","lactation","income",27
"2017","F","mating","capital",24
"2017","F","mating","income",9
"2017","F","non-breeding","capital",0
"2017","F","non-breeding","income",69
"2017","M","lactation","capital",7
"2017","M","lactation","income",6
"2017","M","mating","capital",25
"2017","M","mating","income",6
"2017","M","non-breeding","capital",0
"2017","M","non-breeding","income",2
"2018","F","lactation","capital",54
"2018","F","lactation","income",142
"2018","F","mating","capital",16
"2018","F","mating","income",8
"2018","F","non-breeding","capital",1
"2018","F","non-breeding","income",20
"2018","M","lactation","capital",25
"2018","M","lactation","income",69
"2018","M","mating","capital",15
"2018","M","mating","income",3
"2018","M","non-breeding","capital",2
"2018","M","non-breeding","income",13
"2019","F","lactation","capital",5
"2019","F","lactation","income",70
"2019","F","mating","capital",20
"2019","F","mating","income",104
"2019","F","non-breeding","capital",10
"2019","F","non-breeding","income",34
"2019","M","lactation","capital",1
"2019","M","lactation","income",18
"2019","M","mating","capital",9
"2019","M","mating","income",28
"2019","M","non-breeding","capital",765
"2019","M","non-breeding","income",2889
"2020","F","lactation","capital",33
"2020","F","lactation","income",21
"2020","F","mating","capital",23
"2020","F","mating","income",6
"2020","F","non-breeding","capital",1
"2020","F","non-breeding","income",1
"2020","M","lactation","capital",28
"2020","M","lactation","income",10
"2020","M","mating","capital",8
"2020","M","mating","income",7
"2020","M","non-breeding","capital",2
"2020","M","non-breeding","income",2
"2021","F","lactation","capital",4
"2021","F","lactation","income",6
"2021","F","mating","capital",17
"2021","F","mating","income",13
"2021","F","non-breeding","capital",0
"2021","F","non-breeding","income",8
"2021","M","lactation","capital",2
"2021","M","lactation","income",1
"2021","M","mating","capital",21
"2021","M","mating","income",1
"2021","M","non-breeding","capital",0
"2021","M","non-breeding","income",8
"2022","F","lactation","capital",4
"2022","F","lactation","income",22
"2022","F","mating","capital",4
"2022","F","mating","income",16
"2022","F","non-breeding","capital",0
"2022","F","non-breeding","income",7
"2022","M","lactation","capital",2
"2022","M","lactation","income",18
"2022","M","mating","capital",4
"2022","M","mating","income",14
"2022","M","non-breeding","capital",0
"2022","M","non-breeding","income",2
"2023","F","lactation","capital",22
"2023","F","lactation","income",3
"2023","F","mating","capital",1
"2023","F","mating","income",0
"2023","F","non-breeding","capital",0
"2023","F","non-breeding","income",1
"2023","M","lactation","capital",15
"2023","M","lactation","income",1
"2023","M","mating","capital",0
"2023","M","mating","income",0
"2023","M","non-breeding","capital",0
"2023","M","non-breeding","income",0
"2024","F","lactation","capital",18
"2024","F","lactation","income",27
"2024","F","mating","capital",16
"2024","F","mating","income",2
"2024","F","non-breeding","capital",0
"2024","F","non-breeding","income",0
"2024","M","lactation","capital",3
"2024","M","lactation","income",11
"2024","M","mating","capital",2
"2024","M","mating","income",0
"2024","M","non-breeding","capital",0
"2024","M","non-breeding","income",1
