"feed_cat","estimate","std.error","statistic","p.value","odds_ratio","p_adj","proportion_F","proportion_M","SE_prop_F","SE_prop_M"
"cone_on",0.720104387873013,0.131288854575042,5.48488590447271,4.13736362107752e-08,2.05464767975079,4.13736362107752e-08,0.276365167986002,0.43968035021361,0.0179240486529487,0.0219754018024356
"cone_off",-0.294515661192305,0.14273457861653,-2.06337990448376,0.03907654769393,0.744892280349003,0.03907654769393,0.307468905157206,0.248524936107324,0.0190160128573504,0.0194483997164956
"mushroom/truffle_on",0.305208354600761,0.16578940873734,1.84094000289429,0.0656303513845645,1.35690769151581,0.0656303513845645,0.120278563721106,0.156489090641505,0.0126786576435725,0.0154984616455251
"mushroom/truffle_off",-0.300261523904095,0.179021686819068,-1.67723547487049,0.0934964445945068,0.740624504340252,0.0934964445945068,0.111034590607412,0.0846735061415468,0.0127783179412841,0.0113360310627543
"spruce_bud_on",-1.10306208921626,0.450403413756226,-2.44905357181257,0.0143232142949744,0.33185336171525,0.0143232142949744,0.0277984277307845,0.00939958417430803,0.00646338039412535,0.00372139024355869
"spruce_bud_off",-1.43817426420895,0.386067332344343,-3.72519025496362,0.000195167967513968,0.237360721288438,0.000195167967513968,0.0302742615759479,0.00735575269066236,0.00778767245057525,0.00287189831018912
"other_on",-1.08221525859473,0.528250410190584,-2.04867850117576,0.0404935627992069,0.338844066383624,0.0404935627992069,0.0201722544462118,0.00692764273547936,0.00562475953877114,0.0032538961989135
"other_off",-0.0887453027724861,0.543288866927275,-0.163348281503375,0.870244221222295,0.91507861188149,0.870244221222295,0.009780899974406,0.00895773273244324,0.00388372348118473,0.00381830209790791
