"term","estimate","std.error","zvalue","p.value"
"(Intercept)",0.320279519060303,0.976613299032502,0.327949168189286,0.74295009680998
"log_cache_size_new_prev_year",-0.340616827298199,0.0645939878018802,-5.27319707126495,1.34067464424399e-07
"sexM",0.250663796286477,1.04263548954894,0.24041364292608,0.810009602788403
"seasonnon-breeding",-1.7759212799475,0.962695699603186,-1.84473793814548,0.0650756692634706
"seasonlactation",-2.11632459590462,0.870240873123103,-2.43188370170387,0.0150205293515723
"seasonmating",2.37283053193335,0.802836828705243,2.9555576514347,0.0031210436112485
"log_cache_size_new_prev_year:sexM",0.359615740849986,0.071265848931911,5.04611600422484,4.50881715396748e-07
"sexM:seasonnon-breeding",-0.391259138310935,0.994376018354798,-0.393472017716473,0.693970887400581
"sexM:seasonlactation",-0.728394601543015,0.89650677772188,-0.812480864220507,0.416515762434407
"sexM:seasonmating",-2.18109649393674,0.830879752128215,-2.62504470514546,0.00866375911999817
