reflo,locx,locy
B2,A.9,2.0
B2,B.0,2.0
B4.,B.0,4.6
B7.,A.9,7.3
C.0.,C.5,0.5
C.0.,C.0,0.5
C.0.,C.8,0.6
C.0.,C.8,0.6
C.1,C.5,1.5
C.17,C.6,16.9
C.17,C.6,16.9
C.17,C.5,17.0
C.17,C.5,17.0
C.19,C.5,19.0
C.19,C.5,19.0
C.19,C.5,19.0
C.5,C.5,5.0
C.9,C.5,9.0
C.9,C.6,9.1
C.9,C.6,9.1
C.9,C.5,9.4
C12,C.2,12.0
C12,C.0,12.2
C13,C.0,12.9
C13,C.0,13.0
C13,C.0,13.0
C13,C.0,13.0
C17,C.0,12.2
C17,C.0,17.2
C17,C.0,17.2
C2.,C.0,2.4
C2.,C.0,2.5
C2.,C.0,2.5
C2.,C.0,2.7
C2.,C.0,2.7
C4.,B.9,4.5
C5,C.0,5.0
C5,C.0,5.0
C6,C.1,6.1
C6,C.1,6.1
C8.,C.0,8.3
C8.,C.0,8.5
C8.,C.0,8.8
C8.,C.0,8.8
D.5.,D.5,5.2
D.5.,D.5,5.2
D.5.,D.5,5.5
D.5.,D.5,5.6
D.8.,D.7,8.4
D15,C.8,15.0
D15,E.8,15.0
D17.,D.2,17.5
D4,D.0,4.0
D4,D.0,4.0
D7,D.3,7.0
D7,D.0,7.0
D7,D.3,7.0
D7,D.0,7.0
D7,D.3,7.0
D7,D.2,7.1
E.2.,E.8,2.8
E.20,E.5,20.0
E.5,E.3,4.8
E.6,E.5,6.0
E1,E.0,1.0
E1,E.0,1.1
E1,E.0,1.3
E11,D.9,10.9
E11,D.8,10.9
E11,D.8,10.9
E11,E.0,11.0
E11,E.0,11.0
E13,E.0,13.0
E14.,E.0,14.5
E14.,E.0,14.6
E14.,D.9,14.6
E14.,D.9,14.6
E15,D.9,14.6
E15,E.0,15.0
E3.,E.0,3.5
E3.,E.0,3.6
E3.,E.0,3.6
E4,E.0,4.0
E7,E.2,7.0
E9,E.0,8.9
E9.,E.0,9.5
F.0.,F.0,0.3
F.0.,F.0,0.7
F.1,F.6,1.0
F.10.,F.3,10.7
F.18.,F.8,18.7
F.20.,F.5,20.5
F.20.,F.3,20.7
F.21,F.5,21.0
F.21,F.1,21.3
F.21,F.1,21.3
F.21,F.1,21.3
F1,F.0,0.4
F1,F.1,0.9
F1,F.0,1.0
F1.,F.0,1.5
F1.,F.0,1.8
F11,F.0,11.0
F12,F.2,12.0
F16,F.0,16.0
F16,F.0,16.2
F17,F.0,17.0
F17,F.0,17.0
F17,F.0,17.0
F17,F.0,17.0
F18.,F.0,18.5
F18.,F.0,18.5
F18.,F.0,18.6
F18.,F.0,18.6
F20,F.0,19.9
F21.,F.1,21.3
F3,E.7,2.8
F3,E.7,2.8
F3,F.0,3.0
F3,F.0,3.0
F4,E.9,4.0
F4.,F.0,4.4
F6,F.0,6.0
F6.,F.0,6.4
F6.,F.0,6.4
F6.,F.0,6.5
F6.,F.0,6.5
F8,F.1,8.0
F8,F.2,8.0
F8,F.1,8.0
F8,F.1,8.0
F9.,E.9,9.6
F9.,E.9,9.6
G.0.,G.6,0.5
G.1.,G.3,1.5
G.10.,G.1,10.5
G.10.,G.5,10.5
G.18,G.5,17.9
G.18,G.5,17.9
G.2,G.3,2.0
G.2,G.3,2.0
G.2,G.5,2.0
G.2,G.3,2.0
G.3,G.3,2.0
G.6.,G.5,6.5
G.6.,G.4,6.7
G.6.,G.7,6.8
G.9.,G.5,9.5
G.9.,G.3,9.7
G1,F.9,1.0
G10.,G.1,10.4
G10.,G.1,10.5
G10.,G.0,10.5
G11.,G.0,11.5
G13,G.1,13.0
G16,G.1,16.0
G20.,F.7,20.5
G20.,G.0,20.5
G20.,G.0,20.6
G3.,G.0,3.5
G3.,G.1,3.6
G4.,G.0,4.5
G5,G.0,5.0
G5,F.9,5.1
G5,F.9,5.1
G5,G.3,5.3
G9,G.0,9.0
G9,F.8,9.2
G9,G.3,9.2
H.14,H.5,14.0
H.14,H.5,14.1
H.2,H.4,2.0
H.2,H.3,2.1
H.2,H.0,2.4
H.3.,H.7,3.2
H.3.,H.7,3.4
H.3.,H.5,3.5
H.4,H.4,4.0
H.6,H.5,5.9
H1,H.0,0.8
H1,H.0,0.9
H1,H.0,0.9
H1,H.0,1.0
H11,H.0,11.0
H11,H.0,11.2
H11.,G.8,11.7
H12,H.0,12.0
H12,H.0,12.0
H12,H.1,12.4
H15,G.9,14.9
H15,G.9,14.9
H15,H.0,15.0
H15,H.0,15.0
H18.,H.0,18.4
H2,H.3,2.0
H2,H.3,2.0
H2,H.3,2.1
H20,H.0,20.0
H3.,H.0,3.4
H4.,H.1,4.4
H4.,H.1,4.5
H4.,H.0,4.5
H6,H.5,3.5
H6,H.0,6.0
H6,H.3,6.2
H6,H.3,6.2
H6,H.2,6.3
H9,H.0,9.0
H9,H.0,9.1
H9,H.0,9.1
H9,H.0,9.2
I.15.,I.4,15.7
I.16,I.5,16.0
I.16,I.6,16.0
I.16,I.6,16.0
I.16,I.6,16.0
I.16,I.5,16.0
I.19,I.5,19.0
I.2,I.5,1.8
I.2,I.5,1.8
I.2,I.5,1.8
I.20.,I.6,20.3
I.20.,I.6,20.3
I.20.,I.7,20.4
I.20.,I.5,20.5
I.21,I.4,21.2
I.3.,I.5,3.8
I.5.,I.2,5.8
I.5.,I.4,5.8
I.6.,I.6,6.3
I.6.,I.5,6.5
I.8,I.5,8.0
I1,I.0,1.2
I11,H.9,10.9
I11,H.8,10.9
I11,H.9,10.9
I11.,H.9,11.5
I11.,H.9,11.5
I11.,I.0,11.5
I13,I.9,12.9
I13,I.0,13.0
I17.,I.0,17.5
I18,I.0,18.0
I19.,I.1,19.4
I19.,I.0,19.5
I2.,I.0,2.5
I2.,I.1,2.6
I2.,I.2,2.6
I2.,I.2,2.8
I2.,I.2,2.8
I20,I.0,20.0
I21,I.0,21.0
I21,I.4,21.2
I5,I.2,4.9
I5,I.2,5.0
I5,I.4,5.0
I5,I.0,5.0
I5,I.2,5.6
I5,I.2,5.8
I5.,I.2,5.8
I8,I.0,8.0
I9,I.3,9.1
I9,I.1,9.2
I9,H.9,9.2
J.10.,J.3,10.6
J.10.,J.7,10.7
J.13,J.7,13.1
J.19,J.7,19.0
J.19,J.7,19.0
J.19,J.7,19.0
J.19,J.5,19.0
J.20.,J.5,20.1
J.20.,J.5,20.5
J.20.,J.5,20.5
J.20.,J.5,20.5
J.20.,J.3,20.6
J.6.,J.3,6.4
J.6.,J.5,6.5
J.6.,J.3,6.7
J.9,J.1,8.8
J.9,J.4,9.0
J.9,J.2,9.0
J.9,J.4,9.0
J.9,J.9,9.0
J.9,J.7,9.0
J.9,J.0,9.0
J.9,J.5,9.0
J1,J.0,1.0
J1,J.1,1.0
J1,J.0,1.0
J10,J.2,10.1
J11,J.1,11.0
J11,J.0,11.0
J11,J.1,11.1
J11,J.1,11.2
J11,J.1,11.2
J11,J.0,11.2
J14,J.0,14.0
J14,J.0,14.0
J14,J.1,14.1
J14,J.1,14.1
J14,J.1,14.2
